Unnamed: 0,levels,homeType,postingSeason,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,parking,hasGarage,pool,spa,Age,price
8362,0,SINGLE_FAMILY,summer,Stockton,1938,1798.0,2.0,3.0,1,0,0,0,84,497500.0
8363,0,SINGLE_FAMILY,summer,Stockton,1950,1374.0,1.0,2.0,1,0,0,0,72,355000.0
8365,2,SINGLE_FAMILY,summer,Stockton,2007,1805.0,3.0,4.0,1,1,0,0,15,445000.0
8366,0,SINGLE_FAMILY,summer,Stockton,1938,2600.0,3.0,3.0,1,0,0,0,84,615000.0
8367,0,SINGLE_FAMILY,summer,Stockton,1951,1480.0,2.0,3.0,1,0,0,0,71,399950.0
8368,0,SINGLE_FAMILY,summer,Stockton,1938,1217.0,1.0,2.0,1,0,0,0,84,314900.0
8369,0,SINGLE_FAMILY,summer,Stockton,1927,739.0,1.0,2.0,1,0,0,0,95,275000.0
8370,0,SINGLE_FAMILY,summer,Stockton,1939,1284.0,1.0,3.0,1,0,0,0,83,325000.0
8371,0,SINGLE_FAMILY,summer,Stockton,1953,962.0,1.0,3.0,1,0,0,0,69,349000.0
8372,1,SINGLE_FAMILY,summer,Stockton,1941,1766.0,2.0,3.0,1,1,0,0,81,455000.0
8373,0,SINGLE_FAMILY,summer,Stockton,1956,1344.0,2.0,3.0,1,0,0,0,66,370000.0
8374,0,SINGLE_FAMILY,summer,Stockton,1928,1463.0,1.0,3.0,1,0,0,0,94,389997.0
8375,0,SINGLE_FAMILY,summer,Stockton,1941,2241.0,2.0,3.0,1,0,0,0,81,549900.0
8376,0,SINGLE_FAMILY,summer,Stockton,1942,1434.0,1.0,2.0,0,0,0,0,80,339750.0
8377,1,SINGLE_FAMILY,summer,Stockton,1955,1059.0,1.0,3.0,1,1,0,0,67,389000.0
8378,0,SINGLE_FAMILY,summer,Stockton,1920,1117.0,1.0,2.0,1,0,0,0,102,345997.0
8379,0,SINGLE_FAMILY,summer,Stockton,1947,2024.0,2.0,3.0,1,0,0,1,75,479000.0
8380,0,SINGLE_FAMILY,summer,Stockton,1950,1684.0,2.0,2.0,1,0,0,0,72,349000.0
8381,0,SINGLE_FAMILY,summer,Stockton,2018,2147.0,3.0,4.0,1,0,0,0,4,589999.0
8382,0,SINGLE_FAMILY,summer,Stockton,1939,972.0,1.0,2.0,1,0,0,0,83,277900.0
8383,0,SINGLE_FAMILY,summer,Stockton,1940,1246.0,1.0,2.0,1,0,0,0,82,362000.0
